JOB-Title,Organinsation,Location,Ratings,Job-Description,Date-of-Posting,Salary
Data Scientist,Coinbase,Remote,4.0,"Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…",Today,NA
Data Scientist,Barclays,"Chennai, Tamil Nadu",NA,"The role will be using cutting edge data science techniques to extract information from people data.
 Making Barclays a better place by promoting data driven…",1 day ago,NA
"Data Scientist II, Product Analytics",Expedia Group,"Gurgaon, Haryana",4.0,"Excellent communicator to tell stories with data.
Experience with large data sets and proficient in SQL or other programming languages (R, Python).",1 day ago,NA
Data Scientist,Maersk,"Mumbai, Maharashtra",4.0,"Methodological approach during data analysis, data collection.
Data insights is an advantage.
And data transformations with proactively taking guidance.",6 days ago,NA
Data Scientist,Honeywell,"Bengaluru, Karnataka+1 location",4.1,"Develop new technology in the area of hybrid modeling , data modelling , pattern analysis, data visualization and machine learning solutions to address customer…",2 days ago,NA
Data Scientist,Applied Materials Inc,"Bengaluru, Karnataka",4.2,"Learn commercial tools such as JMP, use custom scripts, proprietary analytics platforms as required for the work Analyze and visualize customer data using JMP,…",1 day ago,NA
Data Scientist,Rolls-Royce,"Bengaluru, Karnataka",3.5,"Chapter connects for sharing best practices with other data scientists in the team.
Experienced in exploring and visualising data using Tableau/PowerBI.",3 days ago,NA
Data Scientist,Siemens,"Gurgaon, Haryana+1 location",3.9,"Experience using statistical computer languages (R, Python, Pyspark etc.) to manipulate data and draw insights from large data sets.",1 day ago,NA
Data Scientist,HP,"Bengaluru, Karnataka",5.0,"Key metrics include, Forecast Accuracy and bias.
Apply Statistical forecasting algorithms to forecast Personal system business for short term and long-term…",6 days ago,NA
Data Scientist,Ecolab,"Pune, Maharashtra+1 location",3.5,"The successful candidate will lead efforts to improve the chemical data understanding across the organization through improved process, governance, and data…",2 days ago,NA
Data Scientist,Kaplan,"Bengaluru, Karnataka",3.7,"Coach and collaborate with other data scientists and data analysts.
Expertise in statistical methods, statistical analysis, data visualization, and data mining…",Today,NA
Data Scientist,Cliksource,Remote,4.1,"Experience working with clinical data.
Experience with the FHIR standard for medical data.
Familiarity with Jupyter notebooks or other data science tools.",18 days ago,NA
Data Scientist,Jubilant FoodWorks,"Noida, Uttar Pradesh",NA,"Build data science capabilities that help Jubilant FoodWorks drive exponential growth.
Solve business problems by applying Machine Learning / Deep Learning…",Just posted,NA
Data Scientist - ML,"JPMorgan Chase Bank, N.A","Bengaluru, Karnataka",3.9,"Strong understanding of advanced data mining techniques, curating, processing and transforming data to produce sound datasets.",3 days ago,NA
Enablement Data Scientist,Salesforce,"Hyderabad, Telangana",4.0,"Acquiring, analyzing, cleaning and structuring data is an essential part of your daily responsibilities.
Understand business goals and initiatives, and combine…",6 days ago,NA
Data Analyst,HP,"Gurgaon, Haryana+1 location",4.0,"A firm grasp of statistical analysis using advertising account data and experience with pulling data using SQL.
An inquisitive mind and a passion for data.",Today,NA
Data Analyst,Flipkart,"Bengaluru, Karnataka",NA,"Design and develop complex data queries to move and transform data from operational data sources to analytical databases.
Understanding of macros is beneficial.",6 days ago,NA
Junior Data Analyst,Cognizant Technology Solutions,"Kolkata, West Bengal+1 location",4.0,For PV/Complaints Management Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database…,2 days ago,NA
Data Analyst,"Remote Technology, Inc",Remote in India,4.0,"As a Data Analyst, you will be the link between data producers and data consumers at Remote.
Build strong documentation around data definitions.",Just posted,NA
Data Analyst,Docon,"Bengaluru, Karnataka",4.1,"Understanding the ad-hoc data requests from all stakeholders.
Testing all new reports/deliverables and periodically reviewing them for maintaining data quality.",7 days ago,NA
Data Analyst,Myntra.com,"Bengaluru, Karnataka",4.2,"Work experience as a data analyst or in related analytics area for at least 12 months.
Data analyst - Revenue Planning and Management.",4 days ago,NA
Data Analyst,PT Commeasure Solutions Indonesia (Reddoorz),India,3.5,"Requirements:Collaborate with business, strategy, marketing, data warehousing and tech team to understand/review the data requirements and structure of the data…",1 day ago,NA
Junior Data Analyst,Sciative Solutrions,"Navi Mumbai, Maharashtra",3.9,"Developing and maintaining databases, data systems – reorganizing data in a readable format.
Using automated tools to extract data from secondary sources.",2 days ago,NA
Data Analyst,Torry Harris,"Bengaluru, Karnataka",5.0,"Acquiring data from primary or secondary data sources and maintaining databases.
Developing and implementing data analyses, data collection systems and other…",Today,NA
MIS - Data Analyst 1,EY,"Bengaluru, Karnataka",3.5,"Using statistical tools to interpret data sets, propose data points with patterns that could be valuable for diagnostic and predictive analytics efforts.",6 days ago,NA
Data Informatics Analyst,ServiceNow,"Temporarily Remote in Hyderabad, Telangana",3.7,"Create reporting functions to measure data quality for our data assets.
Work with several data teams to deploy data quality across pipelines and to set up…",1 day ago,NA
Finance Reference Data Operation - Analyst,"JPMorgan Chase Bank, N.A","Bengaluru, Karnataka",4.1,"Support the sourcing of data into the Risk and Finance applications.
Monitor, track, and report on the timeliness and completeness of source data.",2 days ago,NA
Professional 1 Data Analyst,DXC Technology,"Bengaluru, Karnataka",NA,"Applies data analysis or data modeling techniques to establish, modify or maintain data structures and their associated components to increase efficiency of…",Today,NA
Specialist - Data Analyst,ZF,"Pune, Maharashtra",3.9,"Supports the Data Strategist in establishment of business data dictionary.
Identifies new business potentials through analysis of our data pool.",Today,NA
Data Analyst,Cognizant Technology Solutions,"Mumbai, Maharashtra+2 locations",4.0,Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity…,4 days ago,NA
FDS - Associat,Angel broking,Temporarily Remote in India,4.0,"Conduct sampling mystery shopping activities to identify/detect malpractices in branches etc.
Managing of verification and investigation of suspicious alerts…",2 days ago,NA
Software Engineer Backend,Myntra.com,"Bengaluru, Karnataka",NA,"Machine-learning/image-processing using tools like R, Scipy etc.
You will work closely with partners (Brands, Sellers, Vendors, Manufacturers) to understand…",Today,NA
Machine Learning,Cybage,Remote,4.0,"Experience in Machine Learning technique such as Logistic Regression, Random Forest, XgBoost, SVM etc.
Experience in NLP algorithm of classification, word…",30+ days ago,NA
